Number of pages: 5
Item,Price
GIGABYTE Gaming OC GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080GAMING OC-10GD (rev. 2.0) (LHR),$ 799
GV-N3080GAMING OC-10GD REV2,$ 799
NVIDIA GeForce RTX 3080 Founders Edition GDDR6X RTX 3080 FE Video Card,$ 489
RTX 3080 Founders Edd,$ 489
"AVGPC Blizzard Series Gaming PC - Intel i9-11900KF 3.5GHz, RTX 3080 10GB, 32GB 3600MHz DDR4, 2TB NVME M.2 SSD, 360mm Liquid Cooler, Wifi/AC, TD500 White Case, Windows 11 NVIDIA GeForce RTX 3080","$ 1,699"
Blizzard 3080,"$ 1,699"
"EVGA FTW3 ULTRA GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card, LHR 12G-P5-4877-KL",$ 739
GIGABYTE Vision OC GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080VISION OC-10GD (rev. 2.0) (LHR),$ 799
GV-N3080VISION OC-10GD REV2,$ 799
BIOSTAR NEW GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Graphics Card NVIDIA RTX 3080 10GB Gaming Video Card 8Pin GPU Gamer,$ 755
"EVGA GeForce RTX 3080 FTW3 ULTRA GAMING Video Card, 10G-P5-3897-KL, 10GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate, LHR",$ 514
MSI Suprim GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 Ti SUPRIM X 12G,$ 959
RTX 3080 Ti SUPRIM X 12G,$ 959
AVGPC Quiet Series Gaming PC | Intel i9 11900KF 5.3Hz Max Boost | RTX 3080 10GB | 32GB 3600MHz DDR4 | 1TB NVME M.2 SSD | 360MM AIO Liquid Cooling | ARGB Fans | WiFi/AC | MB520 Style Case | Windows 11,"$ 1,599"
Quiet 3080,"$ 1,599"
MSI Gaming GeForce RTX 3080 LHR 10GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3080 Ventus 3X Plus 10G OC LHR),$ 599
B-3080VENTUSSNRFB,$ 599
BIOSTAR NEW GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Graphics Card NVIDIA RTX 3080 10GB Gaming Video Card 8Pin GPU Gamer,$ 579
"ZOTAC GeForce RTX 3080-10G6X  OC 10GB Graphics Card,  GDDR6X 320-bit  PCI Express 4.0 16x ATX Video Card",$ 799
GeForce RTX 3080-10G6X  OC,$ 799
"EVGA GeForce RTX 3080 XC3 ULTRA GAMING Video Card, 10G-P5-3885-KR, 10GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate",$ 549
"EVGA GeForce RTX 3080 XC3 ULTRA GAMING Video Card, 10G-P5-3885-KL, 10GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate, LHR-",$ 469
